,SUID,univid,response
0,538.0,5c9e7a6834cda4f3677e662b,Internationality
1,2285.0,5c9e373c34cda4f3677e14ef,Practical relevance / professionalization
2,2285.0,5c9e7d8334cda4f3677e6b4f,Internationality
3,2285.0,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
4,2285.0,5c9e471734cda4f3677e2ed7,Internationality
5,2285.0,5c9e470b34cda4f3677e2ec5,Specialization
6,2285.0,5c9e470a34cda4f3677e2ec3,Practical relevance / professionalization
7,2285.0,5c9e39fd34cda4f3677e1971,Academic excellence
8,2285.0,5c9e49df34cda4f3677e3365,Academic excellence
9,2285.0,5c9e5c9634cda4f3677e44fb,Academic excellence
10,2285.0,5c9e637534cda4f3677e503d,Academic excellence
11,2285.0,5c9e8f7734cda4f3677e795b,Academic excellence
12,2622.0,5c9e4e9534cda4f3677e3b17,Academic excellence
13,2622.0,5c9e7c2734cda4f3677e690f,Academic excellence
14,2622.0,5c9e5a7e34cda4f3677e418b,Specialization
15,2622.0,5c9e7d3134cda4f3677e6ac9,Academic excellence
16,2622.0,5c9e61c234cda4f3677e4d7b,Practical relevance / professionalization
17,2622.0,5c9e49df34cda4f3677e3365,Internationality
18,2622.0,5c9e5c9634cda4f3677e44fb,Academic excellence
19,2622.0,5c9e637534cda4f3677e503d,Academic excellence
20,2622.0,5c9e637034cda4f3677e5035,Academic excellence
21,2622.0,5c9e636a34cda4f3677e502b,Academic excellence
22,2766.0,5c9e677634cda4f3677e5643,Specialization
23,2766.0,5e8c6df1dc39552aa1e7bdf3,Internationality
24,2766.0,5c9e8aa234cda4f3677e7365,Practical relevance / professionalization
25,2766.0,5c9e7c2734cda4f3677e690f,Practical relevance / professionalization
26,2766.0,5c9e3fc034cda4f3677e22e3,Specialization
27,2766.0,5c9e496834cda4f3677e32a1,Internationality
28,2766.0,5e84b8a01ead1a77be3bd3a8,Practical relevance / professionalization
29,2766.0,5c9e471734cda4f3677e2ed7,Practical relevance / professionalization
30,2766.0,5c9e470b34cda4f3677e2ec5,Specialization
31,2766.0,5c9e470a34cda4f3677e2ec3,Soft skills and digital literacy
32,2192.0,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
33,2192.0,5c9e471734cda4f3677e2ed7,Specialization
34,2192.0,5c9e470b34cda4f3677e2ec5,Practical relevance / professionalization
35,2192.0,5c9e470a34cda4f3677e2ec3,Academic excellence
36,2192.0,5c9e7d3134cda4f3677e6ac9,Internationality
37,2192.0,5c9e50f934cda4f3677e3f03,Academic excellence
38,2192.0,5c9e7da234cda4f3677e6b81,Academic excellence
39,2192.0,5c9e637534cda4f3677e503d,Internationality
40,2192.0,5c9e637034cda4f3677e5035,Internationality
41,2192.0,5c9e636b34cda4f3677e502d,Internationality
42,1602.0,5c9e6c1634cda4f3677e5dcf,Internationality
43,1602.0,5c9e895334cda4f3677e7141,Specialization
44,1602.0,5c9e7dfd34cda4f3677e6c17,Internationality
45,1602.0,5c9e3ffb34cda4f3677e233b,Specialization
46,1602.0,5c9e645534cda4f3677e51a7,Specialization
47,1602.0,5c9e4b4734cda4f3677e35b5,Specialization
48,1602.0,5c9e519334cda4f3677e3ffd,Practical relevance / professionalization
49,1602.0,5c9e3e0234cda4f3677e2009,Internationality
50,1602.0,5c9e636734cda4f3677e5027,Practical relevance / professionalization
51,1602.0,5c9e49df34cda4f3677e3365,Practical relevance / professionalization
52,2327.0,5c9e8aa234cda4f3677e7365,Soft skills and digital literacy
53,2327.0,5c9e88f634cda4f3677e70a3,Practical relevance / professionalization
54,2327.0,5c9e5bc734cda4f3677e43a7,Soft skills and digital literacy
55,2327.0,5c9e7dfd34cda4f3677e6c17,Soft skills and digital literacy
56,2327.0,5c9e7dd034cda4f3677e6bcb,Internationality
57,2327.0,5c9e3ceb34cda4f3677e1e3d,Practical relevance / professionalization
58,2327.0,5c9e3aec34cda4f3677e1af9,Practical relevance / professionalization
59,2327.0,5c9e3a5934cda4f3677e1a09,Soft skills and digital literacy
60,2327.0,5c9e42ad34cda4f3677e279b,Specialization
61,2327.0,5c9e5c9634cda4f3677e44fb,Soft skills and digital literacy
62,965.0,5c9e636634cda4f3677e5025,Soft skills and digital literacy
63,965.0,5c9e6be834cda4f3677e5d83,Internationality
64,965.0,5c9e420034cda4f3677e267f,Specialization
65,965.0,5c9e420034cda4f3677e267f,Specialization
66,965.0,5c9e7ead34cda4f3677e6d31,Academic excellence
67,965.0,5c9e640d34cda4f3677e5131,Practical relevance / professionalization
68,965.0,5c9e61c534cda4f3677e4d7f,Internationality
69,965.0,5c9e60d234cda4f3677e4bf1,Internationality
70,965.0,5c9e4b4734cda4f3677e35b5,Internationality
71,965.0,5e84a9f41ead1a77be3bd385,Soft skills and digital literacy
72,965.0,5e84a9f41ead1a77be3bd385,Soft skills and digital literacy
73,965.0,5c9e501934cda4f3677e3d99,Internationality
74,379.0,5c9e5c6f34cda4f3677e44bd,Practical relevance / professionalization
75,379.0,5c9e5c6c34cda4f3677e44b7,Practical relevance / professionalization
76,379.0,5c9e7d8334cda4f3677e6b4f,Practical relevance / professionalization
77,379.0,5c9e60b534cda4f3677e4bbf,Practical relevance / professionalization
78,379.0,5c9e67b134cda4f3677e56a3,Practical relevance / professionalization
79,379.0,5c9e5a4734cda4f3677e4135,Practical relevance / professionalization
80,379.0,5c9e4e9534cda4f3677e3b17,Practical relevance / professionalization
81,379.0,5c9e8aa234cda4f3677e7365,Practical relevance / professionalization
82,379.0,5c9e88f634cda4f3677e70a3,Practical relevance / professionalization
83,379.0,5c9e7c8b34cda4f3677e69b5,Practical relevance / professionalization
84,379.0,5c9e7c2734cda4f3677e690f,Practical relevance / professionalization
85,2564.0,5c9e4dfa34cda4f3677e3a13,Internationality
86,2564.0,5c9e7ea034cda4f3677e6d1b,Specialization
87,2564.0,5c9e70cf34cda4f3677e623d,Specialization
88,2564.0,5c9e886934cda4f3677e6fbf,Academic excellence
89,3049.0,5c9e4dfb34cda4f3677e3a15,Academic excellence
90,3049.0,5e84b7141ead1a77be3bd39c,Internationality
91,3049.0,5c9e7d8334cda4f3677e6b4f,Specialization
92,3049.0,5c9e4dfa34cda4f3677e3a13,Internationality
93,3049.0,5c9e8eb334cda4f3677e781b,Practical relevance / professionalization
94,3049.0,5c9e895334cda4f3677e7141,Internationality
95,3049.0,5c9e7ead34cda4f3677e6d31,Specialization
96,3049.0,5c9e470b34cda4f3677e2ec5,Practical relevance / professionalization
97,3049.0,5c9e70cf34cda4f3677e623d,Practical relevance / professionalization
98,3049.0,5c9e5b2734cda4f3677e42a1,Practical relevance / professionalization
99,3049.0,5c9e7a9134cda4f3677e666d,Internationality
